Date,Power[kW],Temperature[C],Relative_Humidity,Solar_Radiation[W/m^2],Holiday
2017-01-01 00:00:00,117.8,8.5,75.0,1.4,1.0
2017-01-01 01:00:00,119.2,7.9,76.3,1.5,1.0
2017-01-01 02:00:00,118.0,7.3,80.3,1.4,1.0
2017-01-01 03:00:00,116.4,6.8,81.3,1.5,1.0
2017-01-01 04:00:00,116.2,6.5,81.2,0.9,1.0
2017-01-01 05:00:00,114.9,6.0,81.0,1.4,1.0
2017-01-01 06:00:00,116.1,5.6,80.4,1.0,1.0
2017-01-01 07:00:00,116.1,5.5,80.2,1.5,1.0
2017-01-01 08:00:00,112.5,5.4,80.4,29.5,1.0
2017-01-01 09:00:00,113.0,5.5,80.1,76.5,1.0
2017-01-01 10:00:00,112.7,6.0,78.8,192.8,1.0
2017-01-01 11:00:00,112.3,6.9,76.3,237.5,1.0
2017-01-01 12:00:00,113.6,7.6,75.3,267.5,1.0
2017-01-01 13:00:00,113.8,8.7,72.7,203.5,1.0
2017-01-01 14:00:00,114.5,9.8,70.0,146.2,1.0
2017-01-01 15:00:00,114.3,9.7,71.4,124.3,1.0
2017-01-01 16:00:00,117.1,9.5,73.8,56.9,1.0
2017-01-01 17:00:00,116.9,9.0,76.4,5.2,1.0
2017-01-01 18:00:00,118.3,8.9,76.3,1.5,1.0
2017-01-01 19:00:00,117.9,9.0,75.9,1.4,1.0
2017-01-01 20:00:00,125.9,9.2,76.9,1.4,1.0
2017-01-01 21:00:00,126.0,9.2,78.6,1.3,1.0
2017-01-01 22:00:00,125.7,10.0,77.7,1.2,1.0
2017-01-01 23:00:00,126.2,9.9,80.2,1.5,1.0
2017-01-02 00:00:00,126.1,9.5,83.5,1.2,0.0
2017-01-02 01:00:00,128.5,10.2,84.1,1.8,0.0
2017-01-02 02:00:00,125.9,10.0,85.5,1.1,0.0
2017-01-02 03:00:00,126.9,9.8,87.2,1.5,0.0
2017-01-02 04:00:00,127.2,9.9,86.6,1.5,0.0
2017-01-02 05:00:00,126.4,10.0,84.8,1.5,0.0
2017-01-02 06:00:00,139.1,10.4,81.6,1.7,0.0
2017-01-02 07:00:00,161.1,10.3,82.4,1.8,0.0
2017-01-02 08:00:00,207.6,10.1,80.7,18.5,0.0
2017-01-02 09:00:00,298.7,10.4,79.5,42.2,0.0
2017-01-02 10:00:00,336.4,10.9,77.7,51.6,0.0
2017-01-02 11:00:00,344.5,11.9,74.7,40.5,0.0
2017-01-02 12:00:00,317.6,12.6,73.8,50.6,0.0
2017-01-02 13:00:00,319.1,13.6,70.1,22.4,0.0
2017-01-02 14:00:00,335.6,13.7,71.3,16.7,0.0
2017-01-02 15:00:00,333.7,13.2,77.0,33.4,0.0
2017-01-02 16:00:00,310.5,13.1,76.8,6.4,0.0
2017-01-02 17:00:00,263.5,13.5,76.9,3.6,0.0
2017-01-02 18:00:00,205.7,13.9,75.3,2.6,0.0
2017-01-02 19:00:00,172.1,13.5,79.6,3.4,0.0
